route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Civic Centre To Howick Via Pakuranga (S),3,,HE,52502-20160729161628_v43.23,,N50
Westlake Schools To Torbay Via Beach Rd,3,,NZBNS,05058-20160729161628_v43.23,,050
Mayoral Dr To Glenfield Express,3,,RTH,94504-20160729161628_v43.23,,945X
Castor Bay To Mayoral Dr,3,,NZBNS,82201-20160803113210_v43.25,,822
Manukau Train Station to Britomart Train Station,2,,AM,50077-20160729161628_v43.23,,EAST
Civic Centre To Takapuna And East Coast Bays,3,,NZBNS,52803-20160729161628_v43.23,,N83
Ranui To City Centre,3,,NZBGW,08701-20160803113210_v43.25,,087
Northcross Intermediate To Long Bay College,3,,BAYES,02860-20160803113210_v43.25,,028
Somerville Intermediate To Redcastle Dr,3,,HE,31752-20160729161628_v43.23,,317
Civic Centre To Howick Via Pakuranga,3,,HE,52500-20160729161628_v43.23,,N50
St Josephs School To Orewa,3,,NZBNS,04660-20160803113210_v43.25,,046
Britomart To Mt Wellington Via Ellerslie And Carbine Rd,3,,NZBWP,51102-20160729161628_v43.23,,511
Swanson To New Lynn,3,,NZBGW,13503-20160729161628_v43.23,,135
Remuera To Auckland Grammar,3,,NZBML,00953-20160803113210_v43.25,,009
Long Bay To Constellation Station Via Browns Bay,3,,RTH,88601-20160729161628_v43.23,,886
Rosehill College To Conifer Grove,3,,NZBWP,05556-20160803113210_v43.25,,055
Mt Wellington To Britomart Via Carbine Rd And Panmure,3,,NZBWP,53203-20160729161628_v43.23,,532
Bayswater Wharf To Takapuna Via Milford,3,,RTH,80301-20160729161628_v43.23,,803
Northcote Point To Highbury Shops,3,,BTL,96003-20160729161628_v43.23,,960
Albany Station To Britomart (S),3,,RTH,10007-20160803113210_v43.25,,NEX
Otahuhu To Britomart Via Mangere Town Centre,3,,NZBWP,33401-20160729161628_v43.23,,334
Victoria Ave To Civic Centre,3,,NZBML,60503-20160729161628_v43.23,,605
Takapuna To East Coast Bays Schools,3,,NZBNS,02353-20160729161628_v43.23,,023
Midtown To Beach Haven Via Rangatira Rd (S),3,,BTL,97306-20160803113210_v43.25,,973
Rutherford College To Henderson,3,,RTH,01454-20160729161628_v43.23,,014
Britomart To Eastridge,3,,NZBML,71302-20160803113210_v43.25,,713
Edgewater College To Glen Innes,3,,HE,32052-20160729161628_v43.23,,320
Otahuhu To New Lynn,3,,UE,00803-20160803113210_v43.25,,008
Manukau Train Station to Britomart Train Station,2,,AM,50071-20160803113210_v43.25,,EAST
Otahuhu Schools To Mt Wellington,3,,NZBWP,01754-20160729161628_v43.23,,017
City Centre To Henderson Via Glen Eden And Rosier Rd,3,,NZBGW,15302-20160729161628_v43.23,,153
Westlake Boys To Totara Vale,3,,NZBNS,04852-20160803113210_v43.25,,048
Panmure To Britomart Via Mission Bay,3,,NZBML,74503-20160803113210_v43.25,,745
Blockhouse Bay To Midtown Express,3,,NZBML,24003-20160729161628_v43.23,,240X
Westlake Boys To Takapuna Via Milford And Crown Hill,3,,RTH,03454-20160729161628_v43.23,,034
Oakway Dr To Upper Harbour Primary,3,,RTH,07051-20160729161628_v43.23,,070
